UTC	Pack_count	q0	q1	q2	q3	RollRate	PitchRate	YawRate	Roll	Pitch	Yaw	FreeAccX	FreeAccY	FreeAccZ	Lat	Long	Height	VelX	VelY	VelZ	LoRaRSSI	LoRaSNR
21:08:54:58	0	0.98982	-0.079578	0.10576	-0.05237	0.00064373	0.0052567	-0.00088644	-9.91145	11.5974	-7.06623	0.050629	0.14453	-0.038483	24.80713	121.0242	56.91648	0.000314713	0.0296173	56.9165	-43	6
21:08:54:89	0	0.98965	-0.080286	0.10669	-0.052502	0.022308	0.007431	0.0038433	-10.0042	11.6969	-7.10084	-0.036469	0.055145	-0.10559	24.80713	121.0242	56.92245	-0.00723648	0.0231171	56.9225	-44	2.25
21:08:55:20	0	0.98962	-0.080893	0.10661	-0.05231	-0.004158	0.023666	0.0043221	-10.072	11.6861	-7.08485	-0.15112	-0.13647	0.054474	24.80713	121.0242	56.8947	-0.00380516	0.0340576	56.8947	-42	5
21:08:55:51	0	0.98969	-0.080674	0.10603	-0.052552	-0.0016136	0.0011873	-0.0033417	-10.0439	11.6181	-7.10348	0.06842	-0.066589	7.25E-05	24.80713	121.0242	56.91087	-0.00653458	0.0324097	56.9109	-43	5.25
21:08:55:82	0	0.98971	-0.080474	0.10605	-0.052483	-0.010719	0.0081787	-0.0019188	-10.0199	11.6231	-7.09333	0.0079117	0.016647	-0.036102	24.80713	121.0242	56.92481	-0.0024128	0.0405884	56.9248	-40	-0.5
21:08:56:13	0	0.98975	-0.079807	0.10608	-0.052666	0.017975	0.0035095	-0.001133	-9.9446	11.6288	-7.10704	0.034668	0.1626	-0.012268	24.80713	121.0242	56.92673	-0.00759888	0.036377	56.9267	-41	6.5
21:08:56:44	0	0.98973	-0.080582	0.10577	-0.052539	-0.00737	0.0052986	-0.0014191	-10.0305	11.5896	-7.09787	0.11853	-0.045898	0.033783	24.80713	121.0242	56.88292	-0.0022583	0.0447083	56.8829	-43	3.75
21:08:56:75	0	0.98974	-0.080224	0.10588	-0.052705	-0.0065765	0.0074806	0.0023212	-9.99179	11.6027	-7.11413	0.11066	0.097839	-0.015381	24.80713	121.0242	56.88723	-0.0033989	0.0455627	56.8872	-39	-0.75
21:08:57:07	0	0.98971	-0.080354	0.106	-0.052769	0.0087814	-0.001255	-0.0025158	-10.0088	11.6155	-7.1246	-0.016846	-0.021057	0.037811	24.80713	121.0242	56.88216	-0.0108185	0.0453186	56.8822	-41	3.25
21:08:57:37	0	0.98971	-0.08025	0.10598	-0.052909	0.0091629	0.0040817	-0.002264	-9.99817	11.6124	-7.13938	0.019547	-0.06842	0.0072098	24.80713	121.0242	56.88008	-0.00979614	0.046814	56.8801	-42	6.25
21:08:57:69	0	0.98966	-0.080129	0.10651	-0.052987	-0.00032878	0.011551	-0.0012827	-9.98999	11.6732	-7.15324	-0.11243	-0.082031	0.047546	24.80713	121.0242	56.87914	-0.00217247	0.0549316	56.8791	-40	6.25
21:08:58:00	0	0.98975	-0.079377	0.10618	-0.053105	-0.0082626	0.005722	-0.00071716	-9.90069	11.64	-7.15419	0.020828	0.05658	0.013893	24.80713	121.0242	56.84007	-0.00156212	0.0551453	56.8401	-41	6
21:08:58:31	0	0.9897	-0.079883	0.10633	-0.053061	-0.013	0.0029011	-0.00042748	-9.96052	11.6537	-7.15675	0.0077171	0.062988	-0.0034275	24.80713	121.0242	56.84563	-0.00170326	0.0574951	56.8456	-38	1
21:08:58:62	0	0.9897	-0.078971	0.10678	-0.053388	0.011703	0.012428	0.000916	-9.86235	11.7086	-7.18917	-0.11493	0.12659	0.032867	24.80713	121.0242	56.842	0.00103569	0.0550537	56.842	-38	-1
21:08:58:93	0	0.9897	-0.079463	0.10642	-0.053337	0.038391	0.0077209	-0.0043144	-9.91561	11.6642	-7.18488	0.047424	-0.049744	0.026566	24.80713	121.0242	56.8329	-0.00164032	0.0450134	56.8329	-42	4.5
21:08:59:24	0	0.98964	-0.080002	0.10661	-0.053307	-0.0037766	0.006115	-0.0013704	-9.97993	11.6821	-7.19007	-0.037537	-0.00085831	0.0050583	24.80713	121.0242	56.79101	-0.000813007	0.0513	56.791	-41	3
21:08:59:55	0	0.98965	-0.079527	0.10675	-0.053542	0.010765	0.0060501	0.0038471	-9.92862	11.6996	-7.21328	-0.097778	-0.078491	0.045929	24.80713	121.0242	56.78603	0.00536346	0.0561523	56.786	-39	-0.75
21:08:59:87	0	0.98964	-0.080539	0.10623	-0.053262	0.0058899	0.0071373	-0.00025797	-10.0383	11.6349	-7.18659	0.061829	-0.12732	0.037933	24.80713	121.0242	56.78547	0.00659943	0.0561218	56.7855	-40	-1
21:09:00:17	0	0.9897	-0.079633	0.10626	-0.053456	-0.0015163	-0.0004077	-0.0015898	-9.93539	11.6438	-7.19888	0.00067997	0.055695	-0.0056	24.80713	121.0242	56.79323	0.00488663	0.0556335	56.7932	-38	-0.75
21:09:00:49	0	0.98969	-0.079471	0.10642	-0.053523	0.0014668	0.0090637	0.0016499	-9.91872	11.6617	-7.20649	-0.0040207	0.063416	0.016998	24.80713	121.0242	56.7612	0.0117264	0.0609436	56.7612	-40	-0.25
21:09:00:80	0	0.98967	-0.080201	0.10619	-0.053348	-0.0029182	0.0036488	-0.0029774	-9.99953	11.6318	-7.19212	0.044861	0.073669	-0.02179	24.80713	121.0242	56.74473	0.0117035	0.0626831	56.7447	-40	-0.25
21:09:01:11	0	0.98969	-0.079986	0.10611	-0.053356	0.012276	0.0068283	-0.0030766	-9.97387	11.6247	-7.18964	0.071655	0.051758	-0.006443	24.80714	121.0242	56.7372	0.0134506	0.059021	56.7372	-41	0.75
21:09:01:42	0	0.98962	-0.080981	0.10615	-0.053185	-0.0064583	0.010796	-0.0005703	-10.0882	11.6236	-7.18206	0.026138	-0.11127	0.0021973	24.80714	121.0242	56.71412	0.0185852	0.0661011	56.7141	-39	-1.25
21:09:01:73	0	0.98969	-0.080214	0.10597	-0.053305	0.0059509	0.0064354	-0.0012074	-9.99858	11.6079	-7.18487	0.082153	0.0057869	0.011551	24.80714	121.0242	56.68173	0.0171509	0.0628052	56.6817	-37	-0.5
21:09:02:04	0	0.9897	-0.079613	0.10627	-0.053568	-0.0071678	0.0097046	-0.00095129	-9.93446	11.6437	-7.21182	0.024353	0.10107	-0.015465	24.80714	121.0242	56.6757	0.0167236	0.0650635	56.6757	-36	0.5
21:09:02:35	0	0.98969	-0.079966	0.10609	-0.053501	0.012314	0.011429	-0.0011482	-9.97315	11.6215	-7.20602	0.072815	0.092651	-0.0085297	24.80714	121.0242	56.68179	0.0182648	0.0621948	56.6818	-37	0
21:09:02:66	0	0.98966	-0.080311	0.10611	-0.053453	0.0027809	0.011826	-0.00064087	-10.0128	11.6212	-7.2047	0.049438	-0.017471	0.024063	24.80714	121.0242	56.69604	0.0191956	0.0645142	56.696	-38	1.75
21:09:02:98	0	0.98965	-0.08016	0.1063	-0.053561	0.0092621	0.00243	0.00080109	-9.99839	11.6428	-7.21773	0.032318	0.0017176	0.014122	24.80714	121.0242	56.67367	0.0177917	0.0619202	56.6737	-42	3.5
21:09:03:29	0	0.98962	-0.080276	0.10643	-0.053673	-0.00023234	0.0038528	0.00055027	-10.0144	11.6561	-7.23372	0.025223	-0.039276	0.016846	24.80714	121.0242	56.69117	0.0206757	0.0643921	56.6912	-43	2.25
21:09:03:60	0	0.98959	-0.080286	0.10673	-0.053698	-0.017075	-0.0012026	0.0044708	-10.0187	11.6899	-7.24026	-0.10095	-0.059418	0.049988	24.80714	121.0242	56.71115	0.0141296	0.0647583	56.7111	-41	3
21:09:03:91	0	0.98964	-0.079847	0.10647	-0.053916	-0.0061569	0.0082016	-0.0016298	-9.96768	11.6612	-7.25728	0.089661	-0.050842	0.036926	24.80714	121.0242	56.70934	0.0290985	0.0704346	56.7093	-42	6
21:09:04:22	0	0.98958	-0.080538	0.10655	-0.053723	-0.009964	0.0026646	0.0015078	-10.0467	11.6672	-7.24396	-0.060425	-0.073303	0.10333	24.80714	121.0242	56.67841	0.0231628	0.0684204	56.6784	-39	1
21:09:04:53	0	0.98961	-0.079365	0.10697	-0.054099	0.025543	0.014824	0.0021	-9.91843	11.7204	-7.27871	-0.041077	0.10577	0.0022545	24.80714	121.0242	56.67951	0.0312347	0.0666504	56.6795	-42	4.5
21:09:04:84	0	0.98971	-0.07945	0.10618	-0.053766	0.015625	0.0068169	0.002367	-9.91689	11.6325	-7.23178	0.16418	0.091736	-0.03093	24.80714	121.0242	56.66874	0.0348206	0.0714722	56.6687	-42	6.75
21:09:05:15	0	0.9897	-0.078771	0.10652	-0.054235	0.036285	0.0036049	0.0030422	-9.8466	11.672	-7.28217	0.11017	0.047546	0.010254	24.80714	121.0242	56.67048	0.021637	0.0568237	56.6705	-42	6.5
21:09:05:46	0	0.98962	-0.079811	0.10664	-0.053927	-0.0040436	0.011169	0.0088806	-9.96526	11.6809	-7.26009	-0.12732	-0.080627	0.0099258	24.80714	121.0242	56.64869	0.026123	0.0653076	56.6487	-42	7.5
21:09:05:77	0	0.98959	-0.079841	0.10683	-0.054125	0.019821	0.016739	0.0049286	-9.97296	11.7007	-7.28576	-0.090393	-0.039124	0.014206	24.80714	121.0242	56.6645	0.0332031	0.0678101	56.6645	-41	6.25
21:09:06:08	0	0.98964	-0.078804	0.10699	-0.054381	0.046539	0.021957	0.0011883	-9.85656	11.7235	-7.30496	-0.0085526	-0.12952	0.02684	24.80714	121.0242	56.67538	0.0340576	0.0621948	56.6754	-41	6.5
21:09:06:40	0	0.98963	-0.079921	0.10638	-0.0541	0.00050545	0.00076485	0.00027728	-9.97768	11.6489	-7.27846	0.088257	-0.17432	0.029282	24.80714	121.0242	56.68347	0.0317383	0.0684204	56.6835	-42	2.25
21:09:06:71	0	0.98967	-0.079385	0.10643	-0.054119	0.024277	0.0095901	-0.0015306	-9.91589	11.6585	-7.27495	0.038177	-0.012703	0.031494	24.80714	121.0242	56.66687	0.0305786	0.0618896	56.6669	-41	5.75
21:09:07:02	0	0.9897	-0.07861	0.10657	-0.054406	0.014412	0.0097427	0.0030479	-9.83026	11.6769	-7.30072	0.15393	0.0062904	-0.0050583	24.80714	121.0242	56.68064	0.031189	0.0623474	56.6806	-41	4.25
21:09:07:33	0	0.98966	-0.07893	0.10674	-0.054335	-0.00034213	-0.0039482	0.0099869	-9.86838	11.695	-7.29821	0.0065498	0.13025	0.017242	24.80714	121.0242	56.68918	0.0276947	0.0646362	56.6892	-42	6
21:09:07:64	0	0.98963	-0.078477	0.10724	-0.054617	0.025085	0.01329	0.00054073	-9.82363	11.7522	-7.33129	-0.14624	-0.013847	0.029739	24.80714	121.0242	56.69674	0.0290527	0.0612183	56.6967	-42	5.5
21:09:07:95	0	0.9896	-0.078755	0.10728	-0.054503	0.033386	0.021484	-0.0029602	-9.8551	11.7566	-7.3219	-0.18567	-0.15784	0.016251	24.80714	121.0242	56.67663	0.0314026	0.0559692	56.6766	-41	6.75
21:09:08:26	0	0.98963	-0.08015	0.10628	-0.054034	-0.011368	0.00079727	0.0021801	-10.0026	11.6364	-7.2724	0.038757	-0.23584	0.042023	24.80714	121.0242	56.67842	0.0329285	0.0648193	56.6784	-41	6.75
21:09:08:57	0	0.9897	-0.07823	0.10674	-0.054555	0.0038452	-0.00494	-0.0009203	-9.78936	11.6975	-7.31544	-0.041748	0.083252	-0.0098114	24.80714	121.0242	56.68364	0.0247498	0.0560608	56.6836	-41	6.5
21:09:08:89	0	0.98963	-0.079549	0.10655	-0.054322	0.0019627	-0.0012417	0.0031624	-9.93845	11.668	-7.30179	-0.034607	-0.15649	0.012779	24.80714	121.0242	56.69028	0.0285645	0.0536804	56.6903	-42	4.75
21:09:09:19	0	0.98962	-0.079812	0.10649	-0.054268	-0.019089	-0.0055351	0.008606	-9.96787	11.6597	-7.2979	-0.0068092	-0.11981	-0.0026455	24.80714	121.0242	56.65379	0.0297089	0.0543518	56.6538	-41	6.5
21:09:09:51	0	0.98972	-0.077785	0.10686	-0.054611	0.019699	0.015244	0.0062103	-9.73924	11.7137	-7.31793	-0.080505	0.13074	-0.046875	24.80714	121.0242	56.65146	0.0340271	0.0495911	56.6515	-41	6.5
